Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
29-06-17,Eris Life,1741.1,4.68,0.45,3.51,603.00,612.00,601.05,-0.32,709.75,17.70
27-06-17,Tejas Networks,326.69,2.16,0.48,3.10,257.00,257.70,263.30,2.45,445.00,73.15
06-06-17,IndiGrid InvIT ,2250,1.14,1.60,0.00,100.00,99.70,95.08,-4.92,150.03,50.03
29-05-17,PSP Projects,211.68,8.38,10.39,6.47,210.00,195.00,208.95,-0.5,536.15,155.31
19-05-17,HUDCO,1224,55.45,330.36,10.79,58.00,76.50,72.50,25,36.10,-37.76
09-05-17,S Chand and Co,325,44.27,204.65,6.07,670.00,675.85,675.85,0.87,109.20,-83.70
05-04-17,Shankara Buildi,232.96,51.62,90.68,15.35,460.00,545.00,632.80,37.57,707.60,53.83
31-03-17,CL Educate,238.95,3.65,0.21,1.63,500.00,398.00,208.95,-58.21,125.05,-74.99
21-03-17,Avenue Supermar,1870,144.61,277.74,7.30,299.00,604.00,640.75,114.3,"4,070.70",1261.44
17-03-17,Music Broadcast,488.53,39.78,109.13,9.85,333.00,413.00,59.70,-82.07,24.00,-92.79
03-02-17,BSE Limited,1243,48.64,159.03,6.48,806.00,1085.00,1069.20,32.66,"2,262.80",180.74
19-12-16,Laurus Labs,560.7,10.54,3.57,1.58,428.00,489.90,96.10,-77.55,551.90,28.95
09-12-16,Sheela Foam,178.5,14.51,3.35,0.44,730.00,860.00,1032.00,41.37,"3,264.30",347.16
08-11-16,Varun Beverages,1114,4.94,0.42,0.82,445.00,430.00,205.29,-53.87,952.70,114.09
07-11-16,PNB Housing Fin,3000,37.33,86.17,1.32,775.00,860.00,890.60,14.92,450.05,-41.93
19-10-16,Endurance Techn,1161,1.70,0.13,0.82,472.00,572.00,647.70,37.22,"1,385.80",193.60
04-10-16,HPL Electric & ,361,5.77,22.20,3.31,202.00,190.00,189.05,-6.41,67.65,-66.51
29-09-16,ICICI Prudentia,6057,11.83,28.55,1.42,334.00,329.00,297.65,-10.88,525.15,57.23
27-09-16,GNA Axles,130.41,17.18,217.47,11.84,207.00,252.00,233.45,12.78,506.90,144.88
23-09-16,L&T Technology,900,5.01,1.03,1.74,860.00,900.00,865.10,0.59,"4,462.00",418.84
31-08-16,RBL Bank,1100,85.08,198.06,5.70,225.00,274.40,299.30,33.02,140.00,-37.78
12-08-16,S P Apparels,215,1.00,0.45,0.54,268.00,275.00,295.00,10.07,415.25,54.94
11-08-16,Dilip Buildcon,430,0.00,0.00,0.00,219.00,240.00,251.95,15.05,294.15,34.32
01-08-16,Advanced Enzyme,60,94.03,393.10,11.67,896.00,1210.00,235.66,-73.7,297.00,-66.85
21-07-16,L&T Infotech,1242,19.91,10.76,7.39,710.00,667.00,697.65,-1.74,"5,870.00",726.76
12-07-16,Quess Corp,400,59.02,392.21,31.23,317.00,500.00,503.00,58.68,650.20,105.11
01-07-16,Mahanagar Gas,1039.64,72.84,191.61,6.82,421.00,540.00,519.90,23.49,768.70,82.59
19-05-16,Parag Milk Food,764.3,1.15,3.08,2.12,215.00,230.00,247.80,15.26,105.60,-50.88
10-05-16,Ujjivan Financi,358.16,33.84,135.45,4.02,210.00,231.90,231.60,10.29,113.30,-46.05
09-05-16,Thyrocare Techn,479.21,73.18,225.30,8.73,446.00,662.00,618.10,38.59,891.75,99.94
21-04-16,Equitas Holding,2159,14.93,57.29,1.40,110.00,145.10,135.25,22.95,112.00,1.82
01-04-16,Bharat Wire Rop,70,1.01,2.02,2.08,45.00,47.25,45.40,0.89,76.55,70.11
18-02-16,Quick Heal Tech,450,4.34,36.69,3.82,321.00,305.00,254.45,-20.73,196.00,-38.94
12-02-16,TeamLease Ser.,273.68,26.97,185.24,10.61,850.00,860.00,1021.95,20.23,"3,987.85",369.16
08-02-16,Precision Camsh,410,2.62,0.73,2.01,186.00,165.00,177.25,-4.7,144.85,-22.12
06-01-16,Narayana Hruda,613,0.01,0.01,0.13,250.00,291.00,336.70,34.68,653.00,161.20
23-12-15,Alkem Lab,1349.6,57.19,129.96,3.17,1050.00,1380.00,1381.45,31.57,"3,335.90",217.70
23-12-15,Dr Lal PathLab,638,63.56,61.28,4.24,550.00,717.00,824.15,49.85,"2,735.00",397.27
16-11-15,S H Kelkar,200,0.00,0.00,0.00,180.00,216.00,207.30,15.17,149.20,-17.11
10-11-15,Interglobe Avi,3000,17.80,3.57,0.92,765.00,868.00,878.45,14.83,"2,120.30",177.16
02-11-15,Coffee Day,1150,4.39,0.54,0.90,328.00,313.00,270.15,-17.64,61.95,-81.11
21-09-15,Prabhat Dairy,300,0.88,1.42,0.34,115.00,113.00,116.35,1.17,99.65,-13.35
16-09-15,Sadbhav Infra,425,3.04,1.66,1.69,103.00,111.00,106.15,3.06,12.66,-87.71
10-09-15,Pennar Eng,156.19,0.00,0.04,0.11,178.00,177.95,157.50,-11.52,63.85,-64.13
10-09-15,Shree Pushkar,70,0.97,2.09,1.54,65.00,60.05,63.00,-3.08,235.60,262.46
09-09-15,Navkar Corp,600,6.47,0.90,1.62,155.00,152.00,166.40,7.35,35.75,-76.94
26-08-15,Power Mech,273.22,27.53,133.22,3.42,640.00,600.00,585.75,-8.48,901.10,40.80
11-08-15,Syngene Intl,550,51.47,90.24,4.78,250.00,295.00,155.20,-37.92,565.00,126.00
09-07-15,Manpasand Bever,400,1.99,0.38,1.16,320.00,291.00,163.43,-48.93,6.14,-98.08
26-05-15,PNC Infratech,488,4.51,0.65,0.28,378.00,381.00,72.04,-80.94,274.45,-27.39
14-05-15,UFO Moviez,600,4.49,1.17,1.02,625.00,600.00,598.80,-4.19,97.30,-84.43
06-05-15,MEP Infra,324,1.02,1.51,0.97,63.00,63.00,60.95,-3.25,23.90,-62.06
30-04-15,VRL Logistics,473.88,58.22,250.86,7.92,205.00,288.00,293.30,43.07,473.55,131.00
09-04-15,Inox Wind,700,35.68,35.38,2.15,325.00,400.00,438.00,34.77,119.10,-63.35
06-04-15,Imagicaaworld,467,1.17,0.49,1.37,180.00,167.95,191.25,6.25,13.58,-92.46
19-03-15,Ortel Comm,240,1.01,0.09,0.39,181.00,181.00,171.95,-5,1.72,-99.05
19-12-14,Monte Carlo,342.28,13.96,1.71,6.96,645.00,585.00,566.40,-12.19,529.00,-17.98
01-10-14,Shemaroo Ent,120,5.69,8.64,7.79,170.00,180.00,171.00,0.59,122.45,-27.97
23-09-14,Sharda Crop,352,32.06,251.35,5.85,156.00,254.10,231.45,48.37,559.60,258.72
12-09-14,Snowman Logist,197.4,16.98,221.79,41.26,47.00,75.00,78.75,67.55,36.20,-22.98
09-05-14,Wonderla,181.25,16.71,159.04,7.56,125.00,164.75,157.60,26.08,223.10,78.48
05-06-13,Just Dial,950,10.12,22.34,3.53,530.00,590.00,611.45,15.37,804.05,51.71
01-04-13,Repco Home,270.38,3.39,0.35,0.51,172.00,159.95,160.85,-6.48,232.60,35.23
28-12-12,INDUS TOWERS,4533.6,2.84,0.10,0.06,220.00,200.00,191.20,-13.09,253.00,15.00
27-12-12,PC Jeweller,609.3,7.33,18.12,1.68,135.00,137.00,74.50,-44.81,22.10,-83.63
26-12-12,CARE Ratings,539.98,45.80,110.96,6.18,750.00,940.00,923.95,23.19,526.00,-29.87
06-12-12,Tara Jewels,0,1.49,3.10,2.05,230.00,242.00,229.95,-0.02,0.76,-99.67
18-07-12,VKS Projects,55,1.15,0.38,1.13,55.00,55.80,1.57,-97.15,0.04,-99.93
30-05-12,Speciality Rest,181.96,4.68,2.19,0.55,150.00,153.00,160.65,7.1,146.75,-2.17
09-05-12,Tribhovandas,210,1.29,1.91,0.68,120.00,115.00,111.20,-7.33,70.70,-41.08
12-04-12,MT Educare,99,6.01,8.00,2.17,80.00,86.05,90.35,12.94,9.88,-87.65
12-04-12,NBCC (India),127.2,7.07,1.70,3.40,106.00,100.00,6.47,-93.9,41.25,-61.08
28-03-12,Olympic Cards,25,0.00,3.43,1.36,30.00,29.95,28.50,-5,4.24,-85.87
09-03-12,MCX India,663.31,49.12,150.35,24.14,1032.00,1387.00,1297.05,25.68,"1,402.35",35.89
02-11-11,Indo Thai Secu,33.6,0.00,0.02,3.31,74.00,76.00,23.00,-68.92,304.00,310.81
24-10-11,Vaswani Ind,49,0.16,11.29,6.82,49.00,33.45,17.75,-63.78,22.20,-54.69
20-10-11,Ujaas Energy,93,1.03,1.56,2.35,186.00,180.00,31.76,-82.92,4.75,-97.45
19-10-11,Taksheel Solut,82.5,0.24,4.70,6.18,150.00,157.40,58.15,-61.23,3.85,-97.43
19-10-11,Flexituff Ventu,104.63,0.51,1.55,1.55,155.00,155.00,166.40,7.35,27.50,-82.26
17-10-11,Onelife Capital,36.85,1.02,0.93,2.32,110.00,115.00,145.90,32.64,14.30,-87.00
04-10-11,Setubandhan Inf,60,0.31,2.76,4.68,138.00,145.00,22.95,-83.37,3.24,-97.65
26-09-11,PG Electroplast,120.65,0.98,1.84,1.64,210.00,200.00,411.65,96.02,644.00,206.67
16-09-11,SRS,227.5,0.74,5.00,0.29,58.00,55.00,16.83,-70.98,0.19,-99.67
08-09-11,TD Power System,227,6.52,0.32,0.36,256.00,251.60,274.80,7.34,385.00,50.39
05-09-11,Brooks Labs,63,0.00,2.82,3.36,100.00,110.00,50.20,-49.8,88.65,-11.35
26-08-11,Tree House,112.06,1.02,1.68,2.76,135.00,132.80,116.55,-13.67,10.34,-92.34
12-08-11,L&T Finance,1245,1.93,6.18,9.61,52.00,53.85,46.46,-10.65,71.25,37.02
04-08-11,Inventure Grow,81.9,0.25,9.49,8.66,117.00,119.00,5.20,-95.56,4.15,-96.45
28-07-11,Bharatiya Glob,55.1,0.00,1.94,5.06,82.00,84.00,30.95,-62.26,5.20,-93.66
13-07-11,Kridhan Infra,34.75,0.03,1.37,4.18,108.00,115.00,13.29,-87.69,5.86,-94.57
07-07-11,Rushil Decor,40.64,0.23,1.35,6.57,72.00,81.25,104.49,45.12,404.90,462.36
07-07-11,Birla Pacific,65.18,1.04,0.17,1.82,10.00,10.10,25.35,153.5,0.28,-97.20
22-06-11,Timbor Home,23.25,0.65,3.22,14.22,63.00,72.00,91.20,44.76,2.21,-96.49
14-06-11,VMS Industries,25.75,0.00,1.11,3.41,40.00,43.95,28.50,-28.75,15.00,-62.50
27-05-11,Dr Datson Labs,120,0.14,2.65,1.84,234.00,218.00,311.25,33.01,6.29,-97.31
23-05-11,Sanghvi Forging,36.9,0.00,1.82,2.93,85.00,88.00,111.75,31.47,16.50,-80.59
13-05-11,Innoventive Ind,219.58,0.85,1.94,1.48,117.00,110.00,93.60,-20,4.20,-96.41
12-05-11,Servalakshmi,60,0.34,4.21,1.90,29.00,30.00,19.00,-34.48,1.33,-95.41
10-05-11,Future Consumer,750,0.26,7.81,0.61,10.00,9.50,8.30,-17,6.98,-30.20
09-05-11,Paramount Print,45.83,0.33,3.28,9.31,35.00,35.00,26.65,-23.86,0.82,-97.66
06-05-11,Muthoot Finance,901.25,25.01,60.94,8.50,175.00,176.45,176.25,0.71,"1,327.10",658.34
08-04-11,Shilpi Cable,55.88,1.04,6.39,5.74,69.00,78.35,23.80,-65.51,1.10,-98.41
30-03-11,PTC India Fin,438.76,2.85,0.22,1.18,28.00,28.00,24.90,-11.07,17.60,-37.14
24-03-11,Lovable Lingeri,93.28,21.87,99.87,20.84,205.00,261.50,249.20,21.56,143.30,-30.10
11-03-11,Sudar Ind,69.98,0.17,4.47,2.27,77.00,74.00,113.10,46.88,1.02,-98.68
11-03-11,Fineotex Chem,30.32,0.00,0.22,4.38,70.00,80.00,14.09,-79.87,167.60,139.43
10-03-11,Acropetal Tech,170,1.12,2.00,1.21,90.00,130.00,98.45,9.39,1.67,-98.14
10-02-11,Omkar Special,79.38,0.82,5.27,9.90,98.00,95.00,46.20,-52.86,31.75,-67.60
20-01-11,C Mahendra Expo,165,1.02,3.92,4.82,110.00,111.00,55.43,-49.61,1.79,-98.37
30-12-10,Punjab & Sind,480,49.80,22.91,8.38,120.00,146.10,127.05,5.87,16.35,-86.38
23-12-10,A2Z Infra Eng,675,0.70,4.25,0.33,400.00,390.00,328.90,-17.78,9.67,-97.58
20-12-10,Claris Life,300,1.31,2.03,1.60,228.00,224.40,205.85,-9.71,396.55,73.93
15-12-10,MOIL,1260,0.00,0.00,0.00,375.00,551.00,233.25,-37.8,176.20,-53.01
06-12-10,RPP Infra Proj,48.75,0.16,7.27,5.60,75.00,75.00,52.00,-30.67,51.70,-31.07
16-11-10,Gravita India,45,6.04,182.52,37.34,125.00,218.75,42.08,-66.34,371.40,197.12
04-11-10,Coal India,15475,24.70,25.40,2.31,245.00,300.00,342.35,39.73,167.25,-31.73
27-10-10,Prestige Estate,1200,4.32,0.24,0.08,183.00,190.00,192.55,5.22,446.00,143.72
27-10-10,BS Limited,197.36,0.52,3.16,1.04,248.00,251.00,18.93,-92.37,0.33,-99.87
