ipo_name,date,text
Paras Defence,01-10-21,"IPO Name: Paras Defence
Date Opened: 01-10-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 90.48
HNI subscription: 435.14
RII subscription: 61.42
CMP (BSE): 
Current Gains: "
Sansera Eng,24-09-21,"IPO Name: Sansera Eng
Date Opened: 24-09-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 26.47
HNI subscription: 11.37
RII subscription: 3.15
CMP (BSE): 
Current Gains: "
Vijaya Diagnost,14-09-21,"IPO Name: Vijaya Diagnost
Date Opened: 14-09-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 13.07
HNI subscription: 1.32
RII subscription: 1.09
CMP (BSE): 
Current Gains: "
AMI Organics,14-09-21,"IPO Name: AMI Organics
Date Opened: 14-09-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 86.64
HNI subscription: 154.81
RII subscription: 13.36
CMP (BSE): 
Current Gains: "
APTUS VALUE,06-09-21,"IPO Name: APTUS VALUE
Date Opened: 06-09-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 32.41
HNI subscription: 33.91
RII subscription: 1.35
CMP (BSE): 
Current Gains: "
CHEMPLAST SANMA,24-08-21,"IPO Name: CHEMPLAST SANMA
Date Opened: 24-08-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 2.7
HNI subscription: 1.03
RII subscription: 2.29
CMP (BSE): 
Current Gains: "
Nuvoco Vistas,23-08-21,"IPO Name: Nuvoco Vistas
Date Opened: 23-08-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 0.1
HNI subscription: 0.02
RII subscription: 0.24
CMP (BSE): 
Current Gains: "
CarTrade Tech,20-08-21,"IPO Name: CarTrade Tech
Date Opened: 20-08-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 0.55
HNI subscription: 0.09
RII subscription: 0.81
CMP (BSE): 
Current Gains: "
Windlas Biotech,16-08-21,"IPO Name: Windlas Biotech
Date Opened: 16-08-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 24.4
HNI subscription: 15.73
RII subscription: 24.27
CMP (BSE): 
Current Gains: "
Devyani Int,16-08-21,"IPO Name: Devyani Int
Date Opened: 16-08-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 95.27
HNI subscription: 213.06
RII subscription: 39.52
CMP (BSE): 
Current Gains: "
Exxaro Tiles,16-08-21,"IPO Name: Exxaro Tiles
Date Opened: 16-08-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 17.67
HNI subscription: 5.36
RII subscription: 40.1
CMP (BSE): 
Current Gains: "
Krsnaa Diagnost,16-08-21,"IPO Name: Krsnaa Diagnost
Date Opened: 16-08-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 49.83
HNI subscription: 116.3
RII subscription: 42.04
CMP (BSE): 
Current Gains: "
Rolex Rings,09-08-21,"IPO Name: Rolex Rings
Date Opened: 09-08-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 143.58
HNI subscription: 360.11
RII subscription: 24.49
CMP (BSE): 
Current Gains: "
Glenmark Life,06-08-21,"IPO Name: Glenmark Life
Date Opened: 06-08-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 0.98
HNI subscription: 0.87
RII subscription: 4.61
CMP (BSE): 
Current Gains: "
Tatva Chintan,29-07-21,"IPO Name: Tatva Chintan
Date Opened: 29-07-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 2.55
HNI subscription: 9.78
RII subscription: 13.36
CMP (BSE): 
Current Gains: "
Zomato,23-07-21,"IPO Name: Zomato
Date Opened: 23-07-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 51.79
HNI subscription: 32.96
RII subscription: 7.45
CMP (BSE): 
Current Gains: "
G R Infra,19-07-21,"IPO Name: G R Infra
Date Opened: 19-07-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 93.18
HNI subscription: 73.01
RII subscription: 4.89
CMP (BSE): 
Current Gains: "
Clean Science,19-07-21,"IPO Name: Clean Science
Date Opened: 19-07-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 156.37
HNI subscription: 206.43
RII subscription: 9.0
CMP (BSE): 
Current Gains: "
India Pesticide,07-07-21,"IPO Name: India Pesticide
Date Opened: 07-07-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 2.64
HNI subscription: 1.36
RII subscription: 4.4
CMP (BSE): 
Current Gains: "
Krishna Inst.,05-07-21,"IPO Name: Krishna Inst.
Date Opened: 05-07-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 5.26
HNI subscription: 1.89
RII subscription: 2.9
CMP (BSE): 
Current Gains: "
